měsíc,Zdeněk Hřib,Adam Zábranský,Vít Šimral,Eva Horáková,Viktor Mahrik,Tomáš Murňák,Jaromír Beránek,Michaela Krausová,Ondřej Kallasch,Daniel Mazur,Tibor Vansa,Jiří Dohnal,Pavel Hájek,Martin Arden,Ladislav Kos,Anneta Heidlová,Jana Komrsková
2018-10,130308,103102,103102,89067,87637,89067,87637,48199,6444,6444,6444,24487,19547,N/A,N/A,N/A,N/A
2018-11,130308,103102,103102,89067,87637,89067,87637,48199,6444,6444,6444,24487,19547,N/A,N/A,N/A,N/A
2018-12,130308,103102,103102,89067,87637,89067,87637,48199,6444,6444,6444,24487,19547,N/A,N/A,N/A,N/A
2019-01,130308,103102,103102,89067,87637,89067,87637,48199,6444,6444,6444,24487,19547,N/A,N/A,N/A,N/A
2019-02,130308,103102,103102,89067,87637,89067,87637,48199,6444,6444,6444,24487,19547,N/A,N/A,N/A,N/A
2019-03,130308,103102,103102,89067,87637,89067,87637,48199,6444,6444,6444,24487,19547,N/A,N/A,N/A,N/A
2019-04,130308,103102,103102,89067,87637,89067,87637,48199,6444,6444,6444,24487,19547,15400,21680,N/A,N/A
2019-05,130308,103102,103102,89067,87637,89067,87637,43199,6444,1225,1225,24487,19547,15400,21680,N/A,N/A
2019-06,130308,103102,103102,89067,87637,89067,87637,43199,6444,N/A,N/A,24487,19547,15400,21680,N/A,N/A
2019-07,130308,103102,103102,89067,87637,89067,87637,43199,6444,N/A,N/A,24487,19547,15400,21680,N/A,N/A
2019-08,130308,103102,103102,89067,87637,89067,87637,43199,6444,N/A,N/A,24487,19547,15400,21680,N/A,N/A
2019-09,130308,103102,103102,89067,87637,89067,87637,43199,7130,N/A,N/A,24487,19547,15400,21680,11416,N/A
2019-10,130308,103102,103102,89067,87637,89067,87637,43199,7130,N/A,N/A,N/A,19547,15400,21680,12235,N/A
2019-11,130308,103102,103102,89067,87637,89067,87637,18360,7130,N/A,N/A,N/A,N/A,14383,21680,12235,6644,N/A
2019-12,130308,103102,103102,89067,87637,89067,87637,18360,7130,N/A,N/A,N/A,N/A,15400,21680,12235,12235,N/A
2020-01,141766,113412,113412,96401,70768*,96401,96401,20529,7251,N/A,N/A,N/A,N/A,12093*,21672*,13005,13005
2020-02,141766,113412,113412,96401,70768*,96401,96401,20529,7251,N/A,N/A,N/A,N/A,12093*,21672*,13456,13456
2020-03,141766,113412,113412,96401,70768*,96401,96401,20529,7251,N/A,N/A,N/A,N/A,12093*,21672*,13456,13456
2020-04,141766,113412,113412,96401,70768*,96401,96401,20529,7251,N/A,N/A,N/A,N/A,12093*,21672*,13456,13456
2020-05,141766,113412,113412,96401,70768*,96401,96401,20529,7251,N/A,N/A,N/A,N/A,12093*,21672*,13456,13456
2020-06,141766,113412,113412,96401,70768*,96401,96401,20529,7251,N/A,N/A,N/A,N/A,12093*,21672*,13456,13456
2020-07,141766,113412,113412,96401,70768*,96401,96401,20529,7251,N/A,N/A,N/A,N/A,12093*,21672*,13456,13456
2020-08,141766,113412,113412,96401,70768*,96401,96401,20529,7251,N/A,N/A,N/A,N/A,12093*,21672*,13456,13456
2020-09,141766,113412,113412,96401,70768*,96401,96401,20529,7251,N/A,N/A,N/A,N/A,12093*,21672*,13456,13456
2020-10,141766,113412,113412,96401,70768*,96401,96401,20529,7251,N/A,N/A,N/A,N/A,12093*,21672*,13456,13456
2020-11,141766,113412,113412,96401,70768*,96401,96401,20529,7251,N/A,N/A,N/A,N/A,12093*,21672*,13456,13456
2020-12,141766,113412,113412,96401,70768*,96401,96401,20529,7251,N/A,N/A,N/A,N/A,12093*,21672*,13456,13456
2021-01,141766,113412,113412,96401,70768*,96401,96401,20529,7251,N/A,N/A,N/A,N/A,12093*,21672*,13456,13456
2021-02,141766,113412,113412,96401,70768*,96401,96401,20529,7251,N/A,N/A,N/A,N/A,12093*,21672*,13456,13456
2021-03,141766,113412,113412,96401,70768*,96401,96401,20529,7251,N/A,N/A,N/A,N/A,12093*,21672*,13681,13681
